keys,en,ru
UI_LOADING,"Loading simulation…","Загрузка симуляции…"
UI_EXTENSION_MISSING,"GDExtension not loaded. Build sim_godot and restart Godot.","GDExtension не загружен. Соберите sim_godot и перезапустите Godot."
UI_LEGEND_TITLE,"Species","Виды"
UI_WORLD_OVERVIEW_TITLE,"world overview · red predators / tan herbivores / orange omnivores","обзор мира · красные хищники / бежевые травоядные / оранжевые всеядные"
UI_VIEW_LOCAL,"LOCAL VIEW","ЛОКАЛЬНЫЙ ВИД"
UI_VIEW_MAP,"WORLD MAP","КАРТА МИРА"
HUD_SIMULATION,"day %.2f · %s · %s · %.0fx · entities %s · %s","день %.2f · %s · %s · %.0fx · сущностей %s · %s"
HUD_CLIMATE,"climate · moisture %.2f · %.1f C · canopy %.3f (max %.2f) · light %.2f · organic %.3f (max %.2f) · pollen %.3f (max %.2f)","климат · влажность %.2f · %.1f C · крона %.3f (макс %.2f) · свет %.2f · органика %.3f (макс %.2f) · пыльца %.3f (макс %.2f)"
HUD_GUILDS,"guilds · plants %s · herbivores %s · omnivores %s · carnivores %s · insects %s (activity %.2f) · decomposers %s","гильдии · растения %s · травоядные %s · всеядные %s · хищники %s · насекомые %s (активность %.2f) · редуценты %s"
HUD_BEHAVIOR,"behavior · rest %s · roam %s · group %s · forage %s · feed %s · drink %s · flee %s","поведение · отдых %s · движение %s · группа %s · поиск пищи %s · питание %s · питьё %s · бегство %s"
HUD_POPULATIONS,"populations · %s","популяции · %s"
HUD_POPULATIONS_EMPTY,"populations · —","популяции · —"
HUD_RUNNING,"running","идёт"
HUD_PAUSED,"paused","пауза"
HUD_CONTROLS_LOCAL,"WASD / left stick move · wheel / LB / RB zoom · RMB / right stick orbit · M / Y world map · Space / Start pause · 1/2/3 speed","WASD / левый стик — движение · колесо / LB / RB — масштаб · ПКМ / правый стик — орбита · M / Y — карта мира · Space / Start — пауза · 1/2/3 — скорость"
HUD_CONTROLS_MAP,"WASD / left stick pan · wheel / LB / RB zoom · M / Y return to local view","WASD / левый стик — перемещение · колесо / LB / RB — масштаб · M / Y — вернуться к локальному виду"
SEASON_WINTER,"winter","зима"
SEASON_SPRING,"spring","весна"
SEASON_SUMMER,"summer","лето"
SEASON_AUTUMN,"autumn","осень"
